Calcination,6,6,6,3.5396136,1200,2,,,,2.83169088,SentroTech,ST-1200°C-666,0.706291783,
Calcination,6,6,8,4.7194848,1200,3,,,,3.77558784,SentroTech,ST-1200°C-668,0.794578256,
Calcination,6,7,8,5.5060656,1200,3,,,,4.40485248,SentroTech,ST-1200°C-678,0.681067076,
Calcination,7,8,12,11.0121312,1200,4,,,,8.80970496,SentroTech,ST-1200°C-7812,0.454044718,
Calcination,10,10,16,26.21936,1200,7,,,,20.975488,SentroTech,ST-1200°C-101016,0.333722867,
Calcination,12,12,16,37.7558784,1200,8,,,,30.20470272,SentroTech,ST-1200°C-121216,0.264859419,
Calcination,16,16,22,92.2921472,1200,14,,,,73.83371776,SentroTech,ST-1200°C-161622,0.189615266,
Calcination,12,12,12,28.3169088,1200,6,,,,22.65352704,SentroTech,ST-1200°C-121212,0.264859419,
Calcination,24,24,24,226.5352704,1200,23,,,,181.2282163,SentroTech,ST-1200°C-242424,0.126911805,
Calcination,,,,1.5,1150,1.1,,,,1.2,Yamaha,FP104,0.916666667,
Calcination,,,,7.5,1150,2.4,,,,6,Yamaha,FP303,0.4,
Calcination,,,,7.5,1150,2.4,,,,6,Yamaha,FP313,0.4,
Calcination,,,,11.3,1150,3.25,,,,9.04,Yamaha,FP413,0.359513274,
Calcination,,,,5,1100,9,,,,4,Carbolite,GLO 5/11-1G,2.25,
Calcination,,,,10,1100,14,,,,8,Carbolite,GLO 10/11-1G,1.75,
Calcination,,,,40,1100,25,,,,32,Carbolite,GLO 40/11-1G,0.78125,
Calcination,,,,120,1100,60,,,,96,Carbolite,GLO 120/11-1G,0.625,
Calcination,,,,260,1100,70,,,,208,Carbolite,GLO 260/11-1G,0.336538462,
Calcination,,,,400,1100,80,,,,320,Carbolite,GLO 400/11-1G,0.25,
Calcination,,,,550,1100,90,,,,440,Carbolite,GLO 550/11-1G,0.204545455,
Calcination,,,,600,1100,95,,,,480,Carbolite,GLO 600/11-1G,0.197916667,
Calcination,,,,850,1100,100,,,,680,Carbolite,GLO 850/11-1G,0.147058824,
Calcination,,,,950,1100,110,,,,760,Carbolite,GLO 950/11-1G,0.144736842,
Calcination,,,,1300,1100,120,,,,1040,Carbolite,GLO 1300/11-1G,0.115384615,
Centrifuge,,,,3,,1.2,20500,,,2.4,,"MSE PRO Benchtop High-Speed Large-Capacity Centrifuge (20,500 RPM)",0.5,
Centrifuge,,,,3,,1.5,21000,,,2.4,,"MSE PRO Benchtop High-Speed Large-Capacity Centrifuge (21,000 RPM)",0.625,
Centrifuge,,,,3,,5,25000,,,2.4,,"MSE PRO Floor-Standing High-Speed Refrigerated Centrifuge (21,000/25,000 RPM)",2.083333333,
Centrifuge,,,,4,,2,5000,,,3.2,,"MSE PRO High-Capacity Refrigerated Centrifuge (5,000 RPM)",0.625,
Filtration,,,,10,,18.6,,190000,719227,8,,,2.325,
Filtration,,,,10,,18.6,,213750,809131,8,,,2.325,
Filtration,,,,10,,18.6,,256500,970957,8,,,2.325,
Filtration,,,,10,,22.4,,304000,1150764,8,,,2.8,
Filtration,,,,10,,22.4,,342000,1294610,8,,,2.8,
Filtration,,,,10,,29.8,,389500,1474417,8,,,3.725,
Filtration,,,,10,,29.8,,427500,1618262,8,,,3.725,
Filtration,,,,10,,37.3,,475000,1798069,8,,,4.6625,
Filtration,,,,10,,37.3,,522500,1977876,8,,,4.6625,
Filtration,,,,10,,44.7,,570000,2157683,8,,,5.5875,
Filtration,,,,10,,44.7,,665000,2517297,8,,,5.5875,
Filtration,,,,10,,55.9,,760000,2876911,8,,,6.9875,
Filtration,,,,10,,55.9,,855000,3236525,8,,,6.9875,
Hydrothermal,,,,1,-120℃～300℃,90,0 - 600,,,0.8,Linbel,S212-1L,112.5,https://www.linbel.com/glass-reactor/200l-glass-reactor.html
Hydrothermal,,,,2,-120℃～300℃,90,0 - 600,,,1.6,Linbel,S212-2L,56.25,
Hydrothermal,,,,5,-120℃～300℃,90,0 - 600,,,4,Linbel,S212-5L,22.5,
Hydrothermal,,,,10,-120℃～300℃,120,0 - 600,,,8,Linbel,S212-10L,15,
Hydrothermal,,,,20,-120℃～300℃,120,0 - 600,,,16,Linbel,S212-20L,7.5,
Hydrothermal,,,,30,-120℃～300℃,120,0 - 600,,,24,Linbel,S212-30L,5,
Hydrothermal,,,,50,-120℃～300℃,120,0 - 600,,,40,Linbel,S212-50L,3,
Hydrothermal,,,,100,-120℃～300℃,180,0 - 600,,,80,Linbel,GR100L,2.25,
Hydrothermal,,,,10,-80℃~350 ℃ ,3,0- 500,,,8,Valuen,VJR10S,0.375,https://www.valuenlab.com/product/300l500ljacketed-stainless-steel-reactor
Hydrothermal,,,,20,-80℃~350 ℃ ,3,0- 500,,,16,Valuen,VJR20S,0.1875,
Hydrothermal,,,,30,-80℃~350 ℃ ,6,0-500,,,24,Valuen,VJR30S,0.25,
Hydrothermal,,,,500,-80℃~350 ℃ ,12,0- 500,,,400,Valuen,VJR50S,0.03,
Hydrothermal,,,,100,-80℃~350 ℃ ,18,0-150,,,80,Valuen,VJR100S,0.225,
Hydrothermal,,,,200,-80℃~350 ℃ ,27,0-150,,,160,Valuen,VJR200S,0.16875,
Hydrothermal,,,,300,-80℃~350 ℃ ,27,0-150,,,240,Valuen,VJR300S,0.1125,
Hydrothermal,,,,500,-80℃~350 ℃ ,30,0-120,,,400,Valuen,VJR500S,0.075,
Hydrothermal,,,,1000,-80℃~350 ℃ ,60,0-120,,,800,Valuen,VJR1000S,0.075,
Hydrothermal,,,,20,,,650,,,16,RAT-20Dse,RAT-20Dse,0,https://www.rpmhardware.com/index.php?route=product/product&product_id=37356&gad_source=1&gclid=Cj0KCQjwjY64BhCaARIsAIfc7YYDtQlAwDPTr4t61H9HD1nvgQ7em_iZ9djfGS46A81oeBhS89tb3VEaAqZ9EALw_wcB
